Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.04623158334,-0.001388145611,-0.000179130584,0.0008079658728,0.001616120309
0.05622558342,-0.001286412822,0.003488574643,-0.0008413296891,0.003812197087
0.06622058339,-0.0003254782641,-0.00004220358096,0.0009964748751,0.001049132699
0.07621558337,0.0004588225856,-0.000507191522,0.00004386226647,0.0006853359056
0.08620958333,0.00003133923747,-0.004282739013,0.002863767557,0.005152086978
0.09620458342,0.0002148309723,0.002592477482,0.00003442529123,0.002601591232
0.1061995834,-0.0002511363709,0.0004277294502,-0.0008565973258,0.0009898388444
0.1161935834,0.00119895488,0.001452247496,-0.0009447479388,0.002106908698
0.1261885833,-0.00108390674,0.0003739334643,-0.00005977950059,0.001148152274
0.1361825834,-0.001139300526,-0.00103115011,-0.001088824938,0.001883299228
0.1461775834,0.001228284789,-0.00033361651,0.001435910235,0.001918807365
0.1561725833,0.001797934994,0.0008850460872,0.0001067265403,0.002006805266
0.1661665834,-0.001650616992,0.0003048521467,-0.001422999194,0.002200544931
0.1761615834,0.0007036174648,-0.002272821497,0.0003045934718,0.002398660517
0.1861565834,-0.000008310889825,-0.001040885225,-0.0003760700929,0.001106770002
0.1961505833,-0.0005771621363,-0.001952484949,-0.0005236092256,0.002102255985
0.2061455834,-0.001513328636,-0.001149050426,0.0002460856922,0.001915995462
0.2161405834,-0.0009697774658,-0.0001687407494,-0.0001296863193,0.0009928546294
0.2261345834,-0.0007402934134,0.002702909056,0.001209707349,0.003052399642
0.2361295833,0.00122725009,0.0008970195195,0.001190532581,0.001930842984
0.2461245834,-0.001167922397,-0.001781649189,0.0006022569723,0.002213827008
0.2561185834,0.00007470860146,-0.003322021803,0.00179348886,0.003775978353
0.2661135833,-0.0005230099196,-0.001984243514,-0.0006509427913,0.002152786152
0.2761085833,-0.00160851446,-0.0002124425955,0.0007376294816,0.00178228726
0.2861025834,-0.001088132733,-0.000267569907,0.0008164589526,0.001386445715
0.2960975834,0.0004090964794,-0.002159479773,0.000858536805,0.002359618245
0.3060915833,-0.00358430855,-0.00003550876863,-0.001691276906,0.003963451302
0.3160865834,0.0008450609166,-0.0008387181442,0.002340748906,0.002626153369
0.3260815834,-0.001288492465,0.00025820476,-0.000177398324,0.00132602892
0.3360755834,-0.000007778173313,-0.005475048907,0.0001094242325,0.005476147797
0.3460705833,-0.002479093382,0.003733729478,-0.00151134748,0.004729779172
0.3560655834,-0.0003040897427,0.00002660928294,0.001024248195,0.001068767042
0.3660595834,0.0007243095897,0.0002331768628,0.00132787053,0.001530436531
0.3760545834,0.0004369544331,0.001396978158,-0.001244210405,0.001921076959
0.3860495833,-0.00166909839,0.00130227895,0.0005020191893,0.002175739683
0.3960435834,-0.0001164753921,-0.0009859090205,0.0006450309884,0.001183912197
0.4060385834,-0.003541059326,0.001322895754,-0.0003166402457,0.003793338289
0.4160335833,-0.001806542627,0.001749267802,0.0004346375354,0.002551949038
0.4260275834,-0.001582028344,-0.001879926771,0.0003422800219,0.002480744638
0.4360225834,-0.0003298100783,0.000148603227,-0.0007597360527,0.000841460918
0.4460175834,0.001386813587,-0.00004239263944,-0.003368844278,0.003643372178
0.4560115833,0.00006668455899,0.001184792025,0.00218544458,0.002486834733
0.4660065834,0.00002037105151,-0.001430009492,0.001415794832,0.002012415745
0.4760015834,0.001495495904,-0.0006973738782,-0.0001514754258,0.001657040473
0.4859955834,-0.000004613306373,-0.002394025214,0.0003334983485,0.002417146904
0.4959905833,-0.0002091442002,0.002441476332,0.0007343039615,0.002558075504
0.5059845834,-0.0007160987007,0.00167584233,-0.0004097159253,0.001867916487
0.5159795834,-0.001451663673,-0.000118595548,-0.0004123791005,0.001513753231
0.5259745833,-0.0009781137342,0.001380649512,0.0008453867631,0.001891448738
0.5359685833,0.0005414860789,0.0008687899681,0.0003455114784,0.00108045424
0.5459635834,-0.0007103108801,-0.001887074439,-0.0001730805961,0.002023746125
0.5559585834,0.001068414422,0.0008653023979,-0.0007517855265,0.001566984076
0.5659525833,-0.001972528175,-0.001160376705,0.001100040041,0.00253917892
0.5759475834,-0.0003011283698,0.000697977026,-0.001555930357,0.001731695557
0.5859425834,-0.00194031978,-0.0008359968197,0.002637269674,0.003379189676
0.5959365834,0.0001920731738,-0.001280212076,0.0003147269599,0.001332249272
0.6059315833,-0.001293809386,-0.0003328537568,0.00003304798156,0.001336348203
0.6159265834,-0.001108453376,-0.002017569495,-0.000508905272,0.00235759202
0.6259205834,-0.001535070711,0.0007329110522,0.001488938229,0.002260649851
0.6359155833,-0.0008434477495,-0.001335299807,-0.004087987356,0.004382473081
0.6459105833,-0.0004986219574,0.001272793743,0.001199360704,0.001818541687
0.6559045834,-0.0013087556,-0.0001424101647,0.00009574671276,0.001319958071
0.6658995834,-0.001442816923,-0.0008904028218,0.0002583834575,0.001715021828
0.6758935833,0.0002371051814,-0.0007223573048,-0.00177946745,0.001935077091
0.6858885834,0.0004219932016,-0.002166760387,-0.00007615901995,0.002208784515
0.6958835834,-0.001591622829,-0.002223752206,0.0006524818018,0.002811417722
0.7058775834,-0.00001943879761,-0.002285444178,0.0001526480773,0.002290618779
0.7158725833,0.0002482088748,0.0001231187489,0.0007345486665,0.0007850653574
0.7258675834,-0.001591606881,-0.001294999616,0.002368830144,0.003133942042
0.7358615834,-0.00107175787,-0.0008204241749,-0.0007768956129,0.001557346317
0.7458565834,0.002613662509,-0.0004397940356,-0.002186645521,0.003435996091
0.7558515833,-0.001410107594,0.0002228005324,0.002598255873,0.002964620901
0.7658455834,-0.0001772488467,-0.0002485197037,-0.0003763313289,0.0004845662658
0.7758405834,-0.001125334064,-0.0008469321765,0.0003190200077,0.001444106863
